Absolute Time,Time Elapsed,Temperature,Vref,Average Output

14/05/2020 at 14:03:21,0.0,41.815531721694896,-2.653958944281525,594.47894
14/05/2020 at 14:03:25,4.0,41.755383252579776,-2.653958944281525,587.58716
14/05/2020 at 14:03:28,7.0,41.755383252579776,-2.653958944281525,586.4581
14/05/2020 at 14:03:31,9.0,41.755383252579776,-2.653958944281525,585.9027
14/05/2020 at 14:03:34,12.0,41.755383252579776,-2.653958944281525,585.4997
14/05/2020 at 14:03:37,15.0,41.755383252579776,-2.653958944281525,585.21045
14/05/2020 at 14:03:52,31.0,41.63557643456453,-2.653958944281525,659.9281
14/05/2020 at 14:03:56,35.0,41.695398452970615,-2.653958944281525,658.46967
14/05/2020 at 14:03:59,38.0,41.695398452970615,-2.653958944281525,658.123
14/05/2020 at 14:04:14,53.0,41.57591631627085,-2.653958944281525,588.3571
14/05/2020 at 14:04:18,56.0,41.695398452970615,-2.653958944281525,584.57477
14/05/2020 at 14:04:20,59.0,41.695398452970615,-2.653958944281525,584.1016
14/05/2020 at 14:04:26,64.0,41.10436036240556,-2.653958944281525,597.40533
14/05/2020 at 14:04:30,69.0,40.41541678443419,-2.653958944281525,608.2151
14/05/2020 at 14:04:34,72.0,40.24649335053262,-2.653958944281525,612.00055
14/05/2020 at 14:04:37,76.0,40.0232570098668,-2.653958944281525,615.3499
14/05/2020 at 14:04:40,79.0,39.91248089608239,-2.653958944281525,617.68646
14/05/2020 at 14:04:44,82.0,39.747353530310804,-2.653958944281525,619.6749
14/05/2020 at 14:04:47,85.0,39.63795181567482,-2.653958944281525,621.7826
14/05/2020 at 14:04:50,89.0,39.58345388864937,-2.653958944281525,623.72
14/05/2020 at 14:04:53,92.0,39.474860564349,-2.653958944281525,625.39264
14/05/2020 at 14:04:56,95.0,39.366799562402925,-2.653958944281525,626.8052
14/05/2020 at 14:05:00,98.0,39.31296705639732,-2.653958944281525,628.47473
14/05/2020 at 14:05:03,101.0,39.25926568939127,-2.653958944281525,629.87964
14/05/2020 at 14:05:06,105.0,39.1522538275271,-2.653958944281525,631.2092
14/05/2020 at 14:05:09,108.0,39.09894207178738,-2.653958944281525,632.51575
14/05/2020 at 14:05:12,111.0,39.045758933194875,-2.653958944281525,633.3814
14/05/2020 at 14:05:15,114.0,38.9927037926529,-2.653958944281525,634.51587
14/05/2020 at 14:05:18,117.0,38.93977603552408,-2.653958944281525,635.5548
14/05/2020 at 14:05:21,120.0,38.88697505158759,-2.653958944281525,636.70514
14/05/2020 at 14:05:25,123.0,38.83430023499695,-2.653958944281525,637.6826
14/05/2020 at 14:05:28,126.0,38.78175098423836,-2.653958944281525,638.5967
14/05/2020 at 14:05:31,129.0,38.72932670208938,-2.653958944281525,639.1814
14/05/2020 at 14:05:34,132.0,38.67702679557834,-2.653958944281525,639.998
14/05/2020 at 14:05:37,136.0,38.62485067594398,-2.653958944281525,640.9576
14/05/2020 at 14:05:40,139.0,38.57279775859576,-2.653958944281525,641.7894
14/05/2020 at 14:05:43,142.0,38.52086746307452,-2.653958944281525,642.52435
14/05/2020 at 14:05:46,145.0,38.46905921301362,-2.653958944281525,642.951
14/05/2020 at 14:05:49,148.0,38.36580656403937,-2.653958944281525,643.6762
14/05/2020 at 14:05:52,151.0,38.36580656403937,-2.653958944281525,644.3353
14/05/2020 at 14:05:56,154.0,38.26303528114378,-2.653958944281525,645.0032
14/05/2020 at 14:05:59,157.0,38.26303528114378,-2.653958944281525,645.32697
14/05/2020 at 14:06:02,160.0,38.160740896868084,-2.653958944281525,645.9262
14/05/2020 at 14:06:05,163.0,38.109771162590334,-2.653958944281525,646.3886
14/05/2020 at 14:06:08,167.0,38.058919005658694,-2.653958944281525,646.8158
14/05/2020 at 14:06:11,170.0,38.008183884864856,-2.653958944281525,647.17816
14/05/2020 at 14:06:14,173.0,37.95756526272872,-2.653958944281525,647.64294
14/05/2020 at 14:06:17,176.0,37.907062605464205,-2.653958944281525,648.3105
14/05/2020 at 14:06:21,179.0,37.856675382945504,-2.653958944281525,648.6083
14/05/2020 at 14:06:24,182.0,37.80640306867365,-2.653958944281525,649.0749
14/05/2020 at 14:06:27,185.0,37.75624513974355,-2.653958944281525,649.55676
14/05/2020 at 14:06:30,188.0,37.70620107681131,-2.653958944281525,650.0648
14/05/2020 at 14:06:33,192.0,37.65627036406202,-2.653958944281525,650.4218
14/05/2020 at 14:06:36,195.0,37.60645248917781,-2.653958944281525,650.82117
14/05/2020 at 14:06:39,198.0,37.55674694330632,-2.653958944281525,651.28705
14/05/2020 at 14:06:42,201.0,37.507153221029554,-2.653958944281525,651.5413
14/05/2020 at 14:06:45,204.0,37.45767082033295,-2.653958944281525,651.9255
14/05/2020 at 14:06:48,207.0,37.40829924257501,-2.653958944281525,652.2254
14/05/2020 at 14:06:52,210.0,37.35903799245707,-2.653958944281525,652.54144
14/05/2020 at 14:06:55,213.0,37.30988657799347,-2.653958944281525,652.69025
14/05/2020 at 14:06:58,216.0,37.260844510482166,-2.653958944281525,653.0475
14/05/2020 at 14:07:03,221.0,37.21191130447548,-2.653958944281525,640.5636
14/05/2020 at 14:07:08,227.0,37.80640306867365,-2.653958944281525,627.81555
14/05/2020 at 14:07:12,231.0,38.008183884864856,-2.653958944281525,626.1393
14/05/2020 at 14:07:16,234.0,38.109771162590334,-2.653958944281525,625.57294
14/05/2020 at 14:07:19,237.0,38.109771162590334,-2.653958944281525,624.8814
14/05/2020 at 14:07:22,240.0,38.211828753462974,-2.653958944281525,623.35675
14/05/2020 at 14:07:25,244.0,38.211828753462974,-2.653958944281525,622.2658
14/05/2020 at 14:07:28,247.0,38.26303528114378,-2.653958944281525,620.97266
14/05/2020 at 14:07:31,250.0,38.31436103251234,-2.653958944281525,619.912
14/05/2020 at 14:07:34,253.0,38.31436103251234,-2.653958944281525,619.00433
14/05/2020 at 14:07:38,256.0,38.36580656403937,-2.653958944281525,617.28656
14/05/2020 at 14:07:41,259.0,38.36580656403937,-2.653958944281525,616.85876
14/05/2020 at 14:07:44,262.0,38.41737243610064,-2.653958944281525,616.00806
14/05/2020 at 14:07:47,265.0,38.41737243610064,-2.653958944281525,615.0509
14/05/2020 at 14:07:50,268.0,38.41737243610064,-2.653958944281525,614.39343
14/05/2020 at 14:07:53,271.0,38.46905921301362,-2.653958944281525,613.6845
14/05/2020 at 14:07:56,274.0,38.46905921301362,-2.653958944281525,612.8309
14/05/2020 at 14:07:59,277.0,38.46905921301362,-2.653958944281525,612.3561
14/05/2020 at 14:08:02,280.0,38.52086746307452,-2.653958944281525,611.8453
14/05/2020 at 14:08:05,283.0,38.52086746307452,-2.653958944281525,611.0124
14/05/2020 at 14:08:08,286.0,38.52086746307452,-2.653958944281525,610.1035
14/05/2020 at 14:08:11,289.0,38.52086746307452,-2.653958944281525,609.9534
14/05/2020 at 14:08:14,292.0,38.57279775859576,-2.653958944281525,609.4242
14/05/2020 at 14:08:17,295.0,38.57279775859576,-2.653958944281525,608.9963
14/05/2020 at 14:08:20,298.0,38.57279775859576,-2.653958944281525,608.41644
14/05/2020 at 14:08:23,301.0,38.62485067594398,-2.653958944281525,607.7297
14/05/2020 at 14:08:26,304.0,38.62485067594398,-2.653958944281525,607.3845
14/05/2020 at 14:08:29,307.0,38.62485067594398,-2.653958944281525,607.00433
14/05/2020 at 14:08:31,310.0,38.62485067594398,-2.653958944281525,606.6451
14/05/2020 at 14:08:34,313.0,38.62485067594398,-2.653958944281525,606.14465
14/05/2020 at 14:08:37,316.0,38.62485067594398,-2.653958944281525,605.76044
14/05/2020 at 14:08:40,319.0,38.62485067594398,-2.653958944281525,605.3526
14/05/2020 at 14:08:43,322.0,38.62485067594398,-2.653958944281525,605.2318
14/05/2020 at 14:08:46,325.0,38.67702679557834,-2.653958944281525,604.7492
14/05/2020 at 14:08:49,328.0,38.67702679557834,-2.653958944281525,604.2318
14/05/2020 at 14:08:52,330.0,38.67702679557834,-2.653958944281525,603.8076
14/05/2020 at 14:08:55,333.0,38.67702679557834,-2.653958944281525,603.4947
14/05/2020 at 14:08:58,336.0,38.67702679557834,-2.653958944281525,603.2511
14/05/2020 at 14:09:01,339.0,38.67702679557834,-2.653958944281525,602.66785
14/05/2020 at 14:09:03,342.0,38.72932670208938,-2.653958944281525,602.57
14/05/2020 at 14:09:06,345.0,38.72932670208938,-2.653958944281525,602.3121
14/05/2020 at 14:09:09,348.0,38.72932670208938,-2.653958944281525,602.0759
14/05/2020 at 14:09:12,351.0,38.72932670208938,-2.653958944281525,601.93616
14/05/2020 at 14:09:15,354.0,38.72932670208938,-2.653958944281525,601.6287
14/05/2020 at 14:09:18,356.0,38.72932670208938,-2.653958944281525,601.4472
14/05/2020 at 14:09:21,359.0,38.72932670208938,-2.653958944281525,601.0722
14/05/2020 at 14:09:24,362.0,38.72932670208938,-2.653958944281525,600.6773
14/05/2020 at 14:09:27,365.0,38.72932670208938,-2.653958944281525,600.4633
14/05/2020 at 14:09:29,368.0,38.78175098423836,-2.653958944281525,600.1277
14/05/2020 at 14:09:32,371.0,38.78175098423836,-2.653958944281525,599.8191
14/05/2020 at 14:09:35,374.0,38.78175098423836,-2.653958944281525,599.6808
14/05/2020 at 14:09:38,377.0,38.78175098423836,-2.653958944281525,599.4242
14/05/2020 at 14:09:41,380.0,38.78175098423836,-2.653958944281525,599.2364
14/05/2020 at 14:09:44,382.0,38.78175098423836,-2.653958944281525,599.14264
14/05/2020 at 14:09:47,385.0,38.78175098423836,-2.653958944281525,598.7826
14/05/2020 at 14:09:50,388.0,38.78175098423836,-2.653958944281525,598.62384
14/05/2020 at 14:09:53,391.0,38.78175098423836,-2.653958944281525,598.2715
14/05/2020 at 14:09:55,394.0,38.78175098423836,-2.653958944281525,598.09344
14/05/2020 at 14:09:58,397.0,38.78175098423836,-2.653958944281525,597.97125
14/05/2020 at 14:10:01,400.0,38.78175098423836,-2.653958944281525,597.7846
14/05/2020 at 14:10:04,403.0,38.78175098423836,-2.653958944281525,597.5137
14/05/2020 at 14:10:07,405.0,38.83430023499695,-2.653958944281525,597.3388
14/05/2020 at 14:10:10,408.0,38.83430023499695,-2.653958944281525,597.191
14/05/2020 at 14:10:13,411.0,38.83430023499695,-2.653958944281525,597.02673
14/05/2020 at 14:10:15,414.0,38.83430023499695,-2.653958944281525,596.79956
14/05/2020 at 14:10:18,417.0,38.83430023499695,-2.653958944281525,596.6471
14/05/2020 at 14:10:21,420.0,38.83430023499695,-2.653958944281525,596.52716
14/05/2020 at 14:10:24,423.0,38.83430023499695,-2.653958944281525,596.25336
14/05/2020 at 14:10:27,425.0,38.83430023499695,-2.653958944281525,596.08716
14/05/2020 at 14:10:30,428.0,38.83430023499695,-2.653958944281525,596.03076
14/05/2020 at 14:10:33,431.0,38.83430023499695,-2.653958944281525,595.8318
14/05/2020 at 14:10:35,434.0,38.83430023499695,-2.653958944281525,595.6052
14/05/2020 at 14:10:38,437.0,38.83430023499695,-2.653958944281525,595.45715
14/05/2020 at 14:10:41,440.0,38.83430023499695,-2.653958944281525,595.3301
14/05/2020 at 14:10:44,443.0,38.83430023499695,-2.653958944281525,595.1857
14/05/2020 at 14:10:47,445.0,38.83430023499695,-2.653958944281525,595.04803
14/05/2020 at 14:10:50,448.0,38.83430023499695,-2.653958944281525,594.9319
14/05/2020 at 14:10:53,451.0,38.83430023499695,-2.653958944281525,594.5834
14/05/2020 at 14:10:55,454.0,38.83430023499695,-2.653958944281525,594.3721
14/05/2020 at 14:10:58,457.0,38.83430023499695,-2.653958944281525,594.34155
14/05/2020 at 14:11:01,460.0,38.88697505158759,-2.653958944281525,594.1926
14/05/2020 at 14:11:04,463.0,38.88697505158759,-2.653958944281525,594.08795
14/05/2020 at 14:11:07,465.0,38.88697505158759,-2.653958944281525,594.0247
14/05/2020 at 14:11:10,468.0,38.88697505158759,-2.653958944281525,593.96466
14/05/2020 at 14:11:12,471.0,38.88697505158759,-2.653958944281525,593.7973
14/05/2020 at 14:11:15,474.0,38.88697505158759,-2.653958944281525,593.6975
14/05/2020 at 14:11:18,477.0,38.88697505158759,-2.653958944281525,593.62274
14/05/2020 at 14:11:21,480.0,38.88697505158759,-2.653958944281525,593.4241
14/05/2020 at 14:11:24,482.0,38.88697505158759,-2.653958944281525,593.2815
14/05/2020 at 14:11:27,485.0,38.88697505158759,-2.653958944281525,593.2504
14/05/2020 at 14:11:29,488.0,38.88697505158759,-2.653958944281525,593.0822
14/05/2020 at 14:11:32,491.0,38.88697505158759,-2.653958944281525,592.87634
14/05/2020 at 14:11:35,494.0,38.88697505158759,-2.653958944281525,592.7139
14/05/2020 at 14:11:38,497.0,38.88697505158759,-2.653958944281525,592.6486
14/05/2020 at 14:11:41,499.0,38.88697505158759,-2.653958944281525,592.4965
14/05/2020 at 14:11:44,502.0,38.88697505158759,-2.653958944281525,592.3255
14/05/2020 at 14:11:47,505.0,38.88697505158759,-2.653958944281525,592.25476
14/05/2020 at 14:11:49,508.0,38.88697505158759,-2.653958944281525,592.1725
14/05/2020 at 14:11:52,511.0,38.88697505158759,-2.653958944281525,592.1472
14/05/2020 at 14:11:55,514.0,38.88697505158759,-2.653958944281525,592.0572
14/05/2020 at 14:11:58,516.0,38.88697505158759,-2.653958944281525,591.83295
14/05/2020 at 14:12:01,519.0,38.88697505158759,-2.653958944281525,591.705
14/05/2020 at 14:12:04,522.0,38.88697505158759,-2.653958944281525,591.26904
14/05/2020 at 14:12:06,525.0,38.88697505158759,-2.653958944281525,591.2351
14/05/2020 at 14:12:09,528.0,38.88697505158759,-2.653958944281525,591.1828
14/05/2020 at 14:12:12,531.0,38.88697505158759,-2.653958944281525,590.9896
14/05/2020 at 14:12:15,534.0,38.88697505158759,-2.653958944281525,590.9132
14/05/2020 at 14:12:18,536.0,38.88697505158759,-2.653958944281525,590.8729
14/05/2020 at 14:12:21,539.0,38.88697505158759,-2.653958944281525,590.82697
14/05/2020 at 14:12:24,542.0,38.88697505158759,-2.653958944281525,590.8186
14/05/2020 at 14:12:26,545.0,38.88697505158759,-2.653958944281525,590.7232
14/05/2020 at 14:12:29,548.0,38.88697505158759,-2.653958944281525,590.6533
14/05/2020 at 14:12:32,551.0,38.88697505158759,-2.653958944281525,590.58923
14/05/2020 at 14:12:35,553.0,38.88697505158759,-2.653958944281525,590.57056
14/05/2020 at 14:12:38,556.0,38.88697505158759,-2.653958944281525,590.4044
14/05/2020 at 14:12:41,559.0,38.88697505158759,-2.653958944281525,590.2288
14/05/2020 at 14:12:43,562.0,38.88697505158759,-2.653958944281525,590.1279
