Absolute Time,Time Elapsed,Temperature,Vref,Average Output

07/11/2019 at 15:07:21,0.0,41.33887747050311,-1.2072336265884651,418.40344
07/11/2019 at 15:07:25,4.0,41.33887747050311,-1.2072336265884651,410.41708
07/11/2019 at 15:07:28,7.0,41.33887747050311,-1.2072336265884651,409.23123
07/11/2019 at 15:07:31,10.0,41.33887747050311,-1.2072336265884651,408.60382
07/11/2019 at 15:07:34,12.0,41.33887747050311,-1.2072336265884651,408.12378
07/11/2019 at 15:07:37,15.0,41.33887747050311,-1.2072336265884651,407.82626
07/11/2019 at 15:07:52,30.0,41.16275615881688,-1.2072336265884651,480.6132
07/11/2019 at 15:07:55,34.0,41.28001388344668,-1.2072336265884651,478.52148
07/11/2019 at 15:07:58,37.0,41.28001388344668,-1.2072336265884651,477.72095
07/11/2019 at 15:08:13,51.0,41.22130705712722,-1.2072336265884651,407.40344
07/11/2019 at 15:08:16,55.0,41.33887747050311,-1.2072336265884651,405.05115
07/11/2019 at 15:08:19,58.0,41.33887747050311,-1.2072336265884651,404.37833
07/11/2019 at 15:08:22,61.0,41.04611884833093,-1.2072336265884651,406.6695
07/11/2019 at 15:08:27,65.0,40.472013478563085,-1.2072336265884651,416.9558
07/11/2019 at 15:08:30,69.0,40.13459260134588,-1.2072336265884651,421.23425
07/11/2019 at 15:08:34,72.0,39.96779936991534,-1.2072336265884651,424.3072
07/11/2019 at 15:08:37,76.0,39.802258665180545,-1.2072336265884651,426.74365
07/11/2019 at 15:08:40,79.0,39.63795181567482,-1.2072336265884651,428.87378
07/11/2019 at 15:08:43,82.0,39.474860564349,-1.2072336265884651,430.50302
07/11/2019 at 15:08:47,85.0,39.366799562402925,-1.2072336265884651,431.9758
07/11/2019 at 15:08:50,88.0,39.25926568939127,-1.2072336265884651,433.3393
07/11/2019 at 15:08:53,92.0,39.09894207178738,-1.2072336265884651,434.62784
07/11/2019 at 15:08:56,95.0,38.9927037926529,-1.2072336265884651,436.05658
07/11/2019 at 15:08:59,98.0,38.88697505158759,-1.2072336265884651,437.2326
07/11/2019 at 15:09:02,101.0,38.78175098423836,-1.2072336265884651,438.28827
07/11/2019 at 15:09:05,104.0,38.67702679557834,-1.2072336265884651,439.21054
07/11/2019 at 15:09:08,107.0,38.57279775859576,-1.2072336265884651,440.2943
07/11/2019 at 15:09:12,110.0,38.46905921301362,-1.2072336265884651,441.16843
07/11/2019 at 15:09:15,114.0,38.36580656403937,-1.2072336265884651,442.26065
07/11/2019 at 15:09:18,117.0,38.26303528114378,-1.2072336265884651,443.31903
07/11/2019 at 15:09:21,120.0,38.211828753462974,-1.2072336265884651,444.23074
07/11/2019 at 15:09:24,123.0,38.109771162590334,-1.2072336265884651,445.29932
07/11/2019 at 15:09:28,126.0,38.008183884864856,-1.2072336265884651,446.4346
07/11/2019 at 15:09:31,130.0,37.907062605464205,-1.2072336265884651,447.5933
07/11/2019 at 15:09:34,133.0,37.80640306867365,-1.2072336265884651,449.03534
07/11/2019 at 15:09:37,136.0,37.75624513974355,-1.2072336265884651,450.60718
07/11/2019 at 15:09:41,139.0,37.65627036406202,-1.2072336265884651,451.8482
07/11/2019 at 15:09:44,142.0,37.60645248917781,-1.2072336265884651,453.2133
07/11/2019 at 15:09:47,146.0,37.507153221029554,-1.2072336265884651,454.49683
07/11/2019 at 15:09:50,149.0,37.45767082033295,-1.2072336265884651,455.64627
07/11/2019 at 15:09:53,152.0,37.40829924257501,-1.2072336265884651,456.54385
07/11/2019 at 15:09:56,155.0,37.35903799245707,-1.2072336265884651,457.49188
07/11/2019 at 15:09:59,158.0,37.30988657799347,-1.2072336265884651,458.46957
07/11/2019 at 15:10:03,161.0,37.260844510482166,-1.2072336265884651,459.16342
07/11/2019 at 15:10:06,165.0,37.21191130447548,-1.2072336265884651,459.94437
07/11/2019 at 15:10:09,168.0,37.16308647775131,-1.2072336265884651,460.86053
07/11/2019 at 15:10:12,171.0,37.11436955128462,-1.2072336265884651,461.65775
07/11/2019 at 15:10:16,174.0,37.065760049219236,-1.2072336265884651,462.8522
07/11/2019 at 15:10:19,177.0,36.96886143054491,-1.2072336265884651,464.1475
07/11/2019 at 15:10:22,181.0,36.96886143054491,-1.2072336265884651,465.38028
07/11/2019 at 15:10:25,184.0,36.92057137781844,-1.2072336265884651,466.18774
07/11/2019 at 15:10:28,187.0,36.87238687720392,-1.2072336265884651,467.4521
07/11/2019 at 15:10:32,190.0,36.824307468277205,-1.2072336265884651,468.93723
07/11/2019 at 15:10:35,193.0,36.776332693620176,-1.2072336265884651,470.42355
07/11/2019 at 15:10:38,197.0,36.776332693620176,-1.2072336265884651,471.47552
07/11/2019 at 15:10:41,200.0,36.72846209879464,-1.2072336265884651,472.8474
07/11/2019 at 15:10:44,203.0,36.6806952323165,-1.2072336265884651,474.2228
07/11/2019 at 15:10:47,206.0,36.63303164563024,-1.2072336265884651,475.38647
07/11/2019 at 15:10:50,209.0,36.58547089308357,-1.2072336265884651,476.36145
07/11/2019 at 15:10:53,212.0,36.5380125319025,-1.2072336265884651,477.37708
07/11/2019 at 15:10:57,215.0,36.5380125319025,-1.2072336265884651,478.4337
07/11/2019 at 15:11:00,219.0,36.58547089308357,-1.2072336265884651,476.76352
07/11/2019 at 15:11:05,224.0,36.87238687720392,-1.2072336265884651,464.40247
07/11/2019 at 15:11:10,229.0,37.11436955128462,-1.2072336265884651,457.13385
07/11/2019 at 15:11:14,232.0,37.16308647775131,-1.2072336265884651,455.29794
07/11/2019 at 15:11:17,236.0,37.21191130447548,-1.2072336265884651,454.82303
07/11/2019 at 15:11:21,239.0,37.260844510482166,-1.2072336265884651,454.79556
07/11/2019 at 15:11:24,243.0,37.30988657799347,-1.2072336265884651,453.2359
07/11/2019 at 15:11:27,246.0,37.30988657799347,-1.2072336265884651,452.9293
07/11/2019 at 15:11:31,249.0,37.35903799245707,-1.2072336265884651,452.57745
07/11/2019 at 15:11:34,252.0,37.40829924257501,-1.2072336265884651,451.86426
07/11/2019 at 15:11:37,256.0,37.40829924257501,-1.2072336265884651,449.911
