Absolute Time,Time Elapsed,Temperature,Vref,Average Output

18/05/2020 at 11:52:41,0.0,44.1649265226647,3.7194525904203317,482.48026
18/05/2020 at 11:52:46,4.0,44.1649265226647,3.7194525904203317,474.25238
18/05/2020 at 11:52:49,7.0,44.1649265226647,3.7194525904203317,472.7742
18/05/2020 at 11:52:52,10.0,44.1649265226647,3.7194525904203317,472.24026
18/05/2020 at 11:52:55,13.0,44.1649265226647,3.7194525904203317,471.99277
18/05/2020 at 11:52:58,16.0,44.1649265226647,3.7194525904203317,471.84155
18/05/2020 at 11:53:16,34.0,44.232032815747765,3.7194525904203317,547.552
18/05/2020 at 11:53:20,38.0,44.232032815747765,3.7194525904203317,546.17804
18/05/2020 at 11:53:23,41.0,44.232032815747765,3.7194525904203317,545.1868
18/05/2020 at 11:53:40,58.0,44.232032815747765,3.7194525904203317,476.1863
18/05/2020 at 11:53:44,62.0,44.232032815747765,3.7194525904203317,472.28955
18/05/2020 at 11:53:47,65.0,44.232032815747765,3.7194525904203317,471.66476
18/05/2020 at 11:53:51,69.0,43.700816743588796,3.7194525904203317,464.14633
18/05/2020 at 11:53:56,74.0,43.182101040494224,3.7194525904203317,474.0511
18/05/2020 at 11:54:00,78.0,42.927249644215294,3.7194525904203317,478.92285
18/05/2020 at 11:54:04,82.0,42.80092035720288,3.7194525904203317,482.58786
18/05/2020 at 11:54:07,85.0,42.61277355146671,3.7194525904203317,485.69806
18/05/2020 at 11:54:10,88.0,42.55041311312135,3.7194525904203317,488.37625
18/05/2020 at 11:54:14,92.0,42.426218980379986,3.7194525904203317,490.8906
18/05/2020 at 11:54:17,95.0,42.30272061673788,3.7194525904203317,493.12
18/05/2020 at 11:54:21,99.0,42.24122992064895,3.7194525904203317,495.50012
18/05/2020 at 11:54:24,102.0,42.11876071535347,3.7194525904203317,497.70374
18/05/2020 at 11:54:27,105.0,42.05778031615117,3.7194525904203317,499.6405
18/05/2020 at 11:54:30,108.0,41.93632325819038,3.7194525904203317,501.3752
18/05/2020 at 11:54:34,112.0,41.87584475591002,3.7194525904203317,503.05472
18/05/2020 at 11:54:37,115.0,41.815531721694896,3.7194525904203317,504.80902
18/05/2020 at 11:54:40,118.0,41.755383252579776,3.7194525904203317,506.57962
18/05/2020 at 11:54:43,121.0,41.63557643456453,3.7194525904203317,508.33188
18/05/2020 at 11:54:47,125.0,41.57591631627085,3.7194525904203317,510.00723
18/05/2020 at 11:54:50,128.0,41.51641722413324,3.7194525904203317,511.73755
18/05/2020 at 11:54:53,131.0,41.45707829125295,3.7194525904203317,513.32153
18/05/2020 at 11:54:56,134.0,41.397898657712915,3.7194525904203317,514.9017
18/05/2020 at 11:55:00,138.0,41.33887747050311,3.7194525904203317,516.47485
18/05/2020 at 11:55:03,141.0,41.28001388344668,3.7194525904203317,518.01447
18/05/2020 at 11:55:06,144.0,41.22130705712722,3.7194525904203317,519.52905
18/05/2020 at 11:55:09,147.0,41.16275615881688,3.7194525904203317,521.2496
18/05/2020 at 11:55:13,151.0,41.10436036240556,3.7194525904203317,522.944
18/05/2020 at 11:55:16,154.0,41.04611884833093,3.7194525904203317,524.6815
18/05/2020 at 11:55:19,157.0,40.98803080350943,3.7194525904203317,526.17676
18/05/2020 at 11:55:22,160.0,40.87231190127768,3.7194525904203317,527.72723
18/05/2020 at 11:55:25,164.0,40.87231190127768,3.7194525904203317,529.368
18/05/2020 at 11:55:29,167.0,40.75719727805131,3.7194525904203317,531.17004
18/05/2020 at 11:55:32,170.0,40.69986460528103,3.7194525904203317,532.9174
18/05/2020 at 11:55:35,173.0,40.64268065556431,3.7194525904203317,534.6266
18/05/2020 at 11:55:39,177.0,40.58564465931099,3.7194525904203317,536.176
18/05/2020 at 11:55:42,180.0,40.528755852889,3.7194525904203317,537.74426
18/05/2020 at 11:55:45,183.0,40.472013478563085,3.7194525904203317,539.3458
18/05/2020 at 11:55:48,186.0,40.41541678443419,3.7194525904203317,540.95404
18/05/2020 at 11:55:51,189.0,40.41541678443419,3.7194525904203317,542.5572
18/05/2020 at 11:55:55,193.0,40.30265745799454,3.7194525904203317,544.0072
18/05/2020 at 11:55:58,196.0,40.24649335053262,3.7194525904203317,545.40466
18/05/2020 at 11:56:01,199.0,40.19047197284957,3.7194525904203317,546.87897
18/05/2020 at 11:56:04,202.0,40.13459260134588,3.7194525904203317,548.09576
18/05/2020 at 11:56:08,206.0,40.13459260134588,3.7194525904203317,549.601
18/05/2020 at 11:56:11,209.0,40.078854517910756,3.7194525904203317,551.049
18/05/2020 at 11:56:14,212.0,40.0232570098668,3.7194525904203317,552.17755
18/05/2020 at 11:56:17,215.0,39.96779936991534,3.7194525904203317,553.584
18/05/2020 at 11:56:20,218.0,39.91248089608239,3.7194525904203317,554.54785
18/05/2020 at 11:56:24,222.0,39.857300891665396,3.7194525904203317,555.9311
18/05/2020 at 11:56:27,225.0,39.802258665180545,3.7194525904203317,557.25726
18/05/2020 at 11:56:30,228.0,39.802258665180545,3.7194525904203317,558.5352
18/05/2020 at 11:56:33,231.0,39.802258665180545,3.7194525904203317,559.9226
18/05/2020 at 11:56:39,237.0,39.91248089608239,3.7194525904203317,546.46375
18/05/2020 at 11:56:43,241.0,40.19047197284957,3.7194525904203317,547.47095
18/05/2020 at 11:56:47,245.0,40.24649335053262,3.7194525904203317,549.9285
18/05/2020 at 11:56:50,248.0,40.30265745799454,3.7194525904203317,550.9985
18/05/2020 at 11:56:53,251.0,40.358965024379735,3.7194525904203317,551.2978
18/05/2020 at 11:56:57,255.0,40.358965024379735,3.7194525904203317,551.12463
18/05/2020 at 11:57:00,258.0,40.41541678443419,3.7194525904203317,550.96466
18/05/2020 at 11:57:03,261.0,40.41541678443419,3.7194525904203317,551.39355
18/05/2020 at 11:57:06,264.0,40.41541678443419,3.7194525904203317,551.6932
18/05/2020 at 11:57:10,268.0,40.472013478563085,3.7194525904203317,549.4333
18/05/2020 at 11:57:13,271.0,40.472013478563085,3.7194525904203317,549.09393
18/05/2020 at 11:57:16,274.0,40.472013478563085,3.7194525904203317,550.4158
18/05/2020 at 11:57:19,277.0,40.528755852889,3.7194525904203317,550.3879
18/05/2020 at 11:57:22,280.0,40.528755852889,3.7194525904203317,550.68646
18/05/2020 at 11:57:26,284.0,40.528755852889,3.7194525904203317,550.6134
18/05/2020 at 11:57:29,287.0,40.528755852889,3.7194525904203317,550.74066
18/05/2020 at 11:57:32,290.0,40.528755852889,3.7194525904203317,550.9324
18/05/2020 at 11:57:35,293.0,40.528755852889,3.7194525904203317,551.1904
18/05/2020 at 11:57:38,296.0,40.528755852889,3.7194525904203317,550.7102
18/05/2020 at 11:57:42,300.0,40.58564465931099,3.7194525904203317,546.7182
18/05/2020 at 11:57:45,303.0,40.58564465931099,3.7194525904203317,548.02295
18/05/2020 at 11:57:48,306.0,40.58564465931099,3.7194525904203317,549.05005
18/05/2020 at 11:57:51,309.0,40.58564465931099,3.7194525904203317,549.70013
18/05/2020 at 11:57:54,312.0,40.58564465931099,3.7194525904203317,549.8441
18/05/2020 at 11:57:57,315.0,40.58564465931099,3.7194525904203317,550.22504
18/05/2020 at 11:58:00,319.0,40.58564465931099,3.7194525904203317,550.2524
18/05/2020 at 11:58:04,322.0,40.58564465931099,3.7194525904203317,550.5654
18/05/2020 at 11:58:07,325.0,40.58564465931099,3.7194525904203317,550.6934
18/05/2020 at 11:58:10,328.0,40.58564465931099,3.7194525904203317,550.69135
18/05/2020 at 11:58:13,331.0,40.64268065556431,3.7194525904203317,550.9597
18/05/2020 at 11:58:16,334.0,40.64268065556431,3.7194525904203317,548.4934
18/05/2020 at 11:58:19,337.0,40.64268065556431,3.7194525904203317,549.42505
18/05/2020 at 11:58:22,340.0,40.64268065556431,3.7194525904203317,549.7058
18/05/2020 at 11:58:25,343.0,40.64268065556431,3.7194525904203317,550.15405
18/05/2020 at 11:58:28,346.0,40.64268065556431,3.7194525904203317,550.1262
18/05/2020 at 11:58:31,349.0,40.64268065556431,3.7194525904203317,550.37933
18/05/2020 at 11:58:34,353.0,40.64268065556431,3.7194525904203317,550.52
18/05/2020 at 11:58:37,355.0,40.64268065556431,3.7194525904203317,550.69086
18/05/2020 at 11:58:40,358.0,40.64268065556431,3.7194525904203317,550.92
18/05/2020 at 11:58:43,361.0,40.64268065556431,3.7194525904203317,550.9094
18/05/2020 at 11:58:46,364.0,40.64268065556431,3.7194525904203317,551.1904
18/05/2020 at 11:58:49,367.0,40.64268065556431,3.7194525904203317,551.0986
18/05/2020 at 11:58:52,370.0,40.64268065556431,3.7194525904203317,551.3308
18/05/2020 at 11:58:55,373.0,40.64268065556431,3.7194525904203317,551.4196
18/05/2020 at 11:58:58,376.0,40.64268065556431,3.7194525904203317,550.8653
18/05/2020 at 11:59:02,380.0,40.64268065556431,3.7194525904203317,550.9724
18/05/2020 at 11:59:04,382.0,40.64268065556431,3.7194525904203317,551.3871
18/05/2020 at 11:59:07,385.0,40.64268065556431,3.7194525904203317,551.69055
18/05/2020 at 11:59:10,388.0,40.64268065556431,3.7194525904203317,551.8849
18/05/2020 at 11:59:14,392.0,40.64268065556431,3.7194525904203317,549.4854
18/05/2020 at 11:59:17,395.0,40.64268065556431,3.7194525904203317,550.35895
18/05/2020 at 11:59:20,398.0,40.64268065556431,3.7194525904203317,551.0826
18/05/2020 at 11:59:23,401.0,40.64268065556431,3.7194525904203317,551.54553
18/05/2020 at 11:59:26,404.0,40.64268065556431,3.7194525904203317,551.74554
18/05/2020 at 11:59:29,407.0,40.64268065556431,3.7194525904203317,552.0519
18/05/2020 at 11:59:32,410.0,40.64268065556431,3.7194525904203317,552.18274
18/05/2020 at 11:59:35,413.0,40.64268065556431,3.7194525904203317,552.279
18/05/2020 at 11:59:38,416.0,40.64268065556431,3.7194525904203317,552.2062
18/05/2020 at 11:59:41,419.0,40.64268065556431,3.7194525904203317,552.528
18/05/2020 at 11:59:44,422.0,40.64268065556431,3.7194525904203317,552.68726
18/05/2020 at 11:59:47,425.0,40.64268065556431,3.7194525904203317,552.6735
18/05/2020 at 11:59:50,428.0,40.64268065556431,3.7194525904203317,552.6862
18/05/2020 at 11:59:53,431.0,40.64268065556431,3.7194525904203317,552.4031
18/05/2020 at 11:59:56,434.0,40.64268065556431,3.7194525904203317,552.3974
18/05/2020 at 11:59:59,437.0,40.64268065556431,3.7194525904203317,552.7321
18/05/2020 at 12:00:02,440.0,40.64268065556431,3.7194525904203317,552.78424
18/05/2020 at 12:00:05,443.0,40.64268065556431,3.7194525904203317,553.0565
18/05/2020 at 12:00:08,446.0,40.64268065556431,3.7194525904203317,552.31274
18/05/2020 at 12:00:11,449.0,40.64268065556431,3.7194525904203317,551.8106
18/05/2020 at 12:00:14,452.0,40.64268065556431,3.7194525904203317,552.3107
18/05/2020 at 12:00:17,455.0,40.64268065556431,3.7194525904203317,552.51843
18/05/2020 at 12:00:20,458.0,40.64268065556431,3.7194525904203317,552.8821
18/05/2020 at 12:00:23,461.0,40.64268065556431,3.7194525904203317,552.1641
18/05/2020 at 12:00:26,464.0,40.64268065556431,3.7194525904203317,552.48
18/05/2020 at 12:00:29,467.0,40.64268065556431,3.7194525904203317,553.032
18/05/2020 at 12:00:32,470.0,40.64268065556431,3.7194525904203317,553.3244
18/05/2020 at 12:00:35,473.0,40.64268065556431,3.7194525904203317,553.584
18/05/2020 at 12:00:38,476.0,40.64268065556431,3.7194525904203317,553.09753
18/05/2020 at 12:00:41,479.0,40.64268065556431,3.7194525904203317,553.48645
18/05/2020 at 12:00:44,482.0,40.64268065556431,3.7194525904203317,553.7848
18/05/2020 at 12:00:47,485.0,40.64268065556431,3.7194525904203317,553.8748
18/05/2020 at 12:00:50,488.0,40.64268065556431,3.7194525904203317,553.8955
18/05/2020 at 12:00:53,491.0,40.64268065556431,3.7194525904203317,553.7902
18/05/2020 at 12:00:56,494.0,40.64268065556431,3.7194525904203317,553.976
18/05/2020 at 12:00:59,497.0,40.64268065556431,3.7194525904203317,554.2387
18/05/2020 at 12:01:02,500.0,40.64268065556431,3.7194525904203317,553.8751
18/05/2020 at 12:01:05,503.0,40.64268065556431,3.7194525904203317,554.1917
18/05/2020 at 12:01:08,506.0,40.64268065556431,3.7194525904203317,554.6013
18/05/2020 at 12:01:11,509.0,40.64268065556431,3.7194525904203317,554.0717
18/05/2020 at 12:01:14,512.0,40.64268065556431,3.7194525904203317,554.5688
18/05/2020 at 12:01:17,515.0,40.64268065556431,3.7194525904203317,554.921
18/05/2020 at 12:01:20,518.0,40.64268065556431,3.7194525904203317,555.0031
18/05/2020 at 12:01:23,521.0,40.64268065556431,3.7194525904203317,555.21936
18/05/2020 at 12:01:26,524.0,40.64268065556431,3.7194525904203317,555.3618
18/05/2020 at 12:01:29,527.0,40.64268065556431,3.7194525904203317,555.3492
18/05/2020 at 12:01:32,530.0,40.64268065556431,3.7194525904203317,555.4676
18/05/2020 at 12:01:35,533.0,40.64268065556431,3.7194525904203317,555.4423
18/05/2020 at 12:01:38,536.0,40.64268065556431,3.7194525904203317,555.6911
18/05/2020 at 12:01:42,540.0,40.64268065556431,3.7194525904203317,553.2599
18/05/2020 at 12:01:45,543.0,40.64268065556431,3.7194525904203317,553.9662
18/05/2020 at 12:01:48,546.0,40.64268065556431,3.7194525904203317,554.7951
18/05/2020 at 12:01:51,549.0,40.64268065556431,3.7194525904203317,555.44617
18/05/2020 at 12:01:54,552.0,40.64268065556431,3.7194525904203317,555.70734
18/05/2020 at 12:01:57,555.0,40.64268065556431,3.7194525904203317,556.0751
18/05/2020 at 12:02:00,558.0,40.64268065556431,3.7194525904203317,556.27045
18/05/2020 at 12:02:04,562.0,40.64268065556431,3.7194525904203317,554.328
18/05/2020 at 12:02:07,565.0,40.64268065556431,3.7194525904203317,555.0111
18/05/2020 at 12:02:10,568.0,40.64268065556431,3.7194525904203317,555.69214
18/05/2020 at 12:02:13,571.0,40.64268065556431,3.7194525904203317,556.0689
18/05/2020 at 12:02:16,574.0,40.64268065556431,3.7194525904203317,556.5022
18/05/2020 at 12:02:19,577.0,40.64268065556431,3.7194525904203317,556.7321
18/05/2020 at 12:02:22,580.0,40.64268065556431,3.7194525904203317,557.04956
18/05/2020 at 12:02:25,583.0,40.64268065556431,3.7194525904203317,556.9969
18/05/2020 at 12:02:28,586.0,40.64268065556431,3.7194525904203317,557.2723
18/05/2020 at 12:02:31,589.0,40.64268065556431,3.7194525904203317,557.2689
18/05/2020 at 12:02:34,592.0,40.64268065556431,3.7194525904203317,556.40594
18/05/2020 at 12:02:37,595.0,40.64268065556431,3.7194525904203317,557.07227
18/05/2020 at 12:02:40,598.0,40.64268065556431,3.7194525904203317,556.6932
18/05/2020 at 12:02:43,601.0,40.64268065556431,3.7194525904203317,557.1334
18/05/2020 at 12:02:46,604.0,40.64268065556431,3.7194525904203317,557.481
18/05/2020 at 12:02:49,607.0,40.64268065556431,3.7194525904203317,557.8405
18/05/2020 at 12:02:53,611.0,40.64268065556431,3.7194525904203317,555.6413
18/05/2020 at 12:02:56,614.0,40.64268065556431,3.7194525904203317,556.54553
