Absolute Time,Time Elapsed,Temperature,Vref,Average Output

28/05/2020 at 17:42:00,0.0,42.364383314997916,2.7810361681329425,540.731
28/05/2020 at 17:42:03,3.0,42.364383314997916,2.7810361681329425,538.81573
28/05/2020 at 17:42:06,6.0,42.364383314997916,2.7810361681329425,538.26556
28/05/2020 at 17:42:09,9.0,42.364383314997916,2.7810361681329425,538.0283
28/05/2020 at 17:42:12,12.0,42.364383314997916,2.7810361681329425,537.93304
28/05/2020 at 17:42:15,15.0,42.364383314997916,2.7810361681329425,537.8814
28/05/2020 at 17:42:30,30.0,42.364383314997916,2.7810361681329425,605.4366
28/05/2020 at 17:42:34,34.0,42.364383314997916,2.7810361681329425,604.2301
28/05/2020 at 17:42:37,37.0,42.364383314997916,2.7810361681329425,603.80646
28/05/2020 at 17:42:51,51.0,42.364383314997916,2.7810361681329425,541.63196
28/05/2020 at 17:42:55,55.0,42.364383314997916,2.7810361681329425,540.27826
28/05/2020 at 17:42:58,57.0,42.364383314997916,2.7810361681329425,539.9476
28/05/2020 at 17:43:01,61.0,41.815531721694896,2.7810361681329425,536.1398
28/05/2020 at 17:43:06,66.0,41.28001388344668,2.7810361681329425,545.9682
28/05/2020 at 17:43:10,70.0,40.98803080350943,2.7810361681329425,551.3725
28/05/2020 at 17:43:14,74.0,40.81467944948564,2.7810361681329425,555.3873
28/05/2020 at 17:43:17,77.0,40.64268065556431,2.7810361681329425,558.3974
28/05/2020 at 17:43:21,81.0,40.472013478563085,2.7810361681329425,561.2153
28/05/2020 at 17:43:24,84.0,40.358965024379735,2.7810361681329425,563.7469
28/05/2020 at 17:43:27,87.0,40.24649335053262,2.7810361681329425,566.6505
28/05/2020 at 17:43:31,91.0,40.13459260134588,2.7810361681329425,569.0969
28/05/2020 at 17:43:34,94.0,40.0232570098668,2.7810361681329425,571.4003
28/05/2020 at 17:43:37,97.0,39.96779936991534,2.7810361681329425,573.66376
28/05/2020 at 17:43:41,101.0,39.857300891665396,2.7810361681329425,575.95154
28/05/2020 at 17:43:44,104.0,39.747353530310804,2.7810361681329425,578.188
28/05/2020 at 17:43:47,107.0,39.69258480585453,2.7810361681329425,580.5375
28/05/2020 at 17:43:51,111.0,39.58345388864937,2.7810361681329425,582.6301
28/05/2020 at 17:43:54,114.0,39.52909035862105,2.7810361681329425,584.7032
28/05/2020 at 17:43:57,117.0,39.420763849460435,2.7810361681329425,586.8607
28/05/2020 at 17:44:00,120.0,39.366799562402925,2.7810361681329425,588.9285
28/05/2020 at 17:44:04,124.0,39.31296705639732,2.7810361681329425,590.98016
28/05/2020 at 17:44:07,127.0,39.20569482401323,2.7810361681329425,593.0606
28/05/2020 at 17:44:10,130.0,39.1522538275271,2.7810361681329425,595.0974
28/05/2020 at 17:44:14,133.0,39.09894207178738,2.7810361681329425,597.1146
28/05/2020 at 17:44:17,137.0,38.9927037926529,2.7810361681329425,599.07837
