Absolute Time,Time Elapsed,Temperature,Vref,Average Output

20/11/2019 at 16:07:50,0.0,41.695398452970615,4.071358748778103,515.15564
20/11/2019 at 16:07:53,3.0,41.87584475591002,4.071358748778103,513.1666
20/11/2019 at 16:07:56,6.0,41.87584475591002,4.071358748778103,512.49207
20/11/2019 at 16:07:59,8.0,41.87584475591002,4.071358748778103,512.0068
20/11/2019 at 16:08:02,11.0,41.87584475591002,4.071358748778103,511.6577
20/11/2019 at 16:08:05,14.0,41.87584475591002,4.071358748778103,511.37204
20/11/2019 at 16:08:18,28.0,41.57591631627085,4.071358748778103,443.24265
20/11/2019 at 16:08:21,31.0,41.87584475591002,4.071358748778103,441.23163
20/11/2019 at 16:08:24,34.0,41.87584475591002,4.071358748778103,440.42737
20/11/2019 at 16:08:38,47.0,41.51641722413324,4.071358748778103,509.572
20/11/2019 at 16:08:41,51.0,41.87584475591002,4.071358748778103,508.48657
20/11/2019 at 16:08:44,54.0,41.87584475591002,4.071358748778103,508.2653
20/11/2019 at 16:08:49,58.0,41.16275615881688,4.071358748778103,500.46393
20/11/2019 at 16:08:52,62.0,40.58564465931099,4.071358748778103,506.1155
20/11/2019 at 16:08:56,65.0,40.19047197284957,4.071358748778103,509.5817
20/11/2019 at 16:08:59,68.0,39.96779936991534,4.071358748778103,512.33777
20/11/2019 at 16:09:02,71.0,39.747353530310804,4.071358748778103,514.5723
20/11/2019 at 16:09:05,74.0,39.58345388864937,4.071358748778103,516.3264
20/11/2019 at 16:09:08,77.0,39.420763849460435,4.071358748778103,517.65125
20/11/2019 at 16:09:11,80.0,39.366799562402925,4.071358748778103,518.8764
20/11/2019 at 16:09:14,83.0,39.20569482401323,4.071358748778103,519.956
20/11/2019 at 16:09:17,86.0,39.045758933194875,4.071358748778103,520.8748
20/11/2019 at 16:09:20,89.0,38.9927037926529,4.071358748778103,521.55646
20/11/2019 at 16:09:23,92.0,38.88697505158759,4.071358748778103,522.163
20/11/2019 at 16:09:26,95.0,38.78175098423836,4.071358748778103,522.639
20/11/2019 at 16:09:28,98.0,38.67702679557834,4.071358748778103,523.03687
20/11/2019 at 16:09:31,101.0,38.62485067594398,4.071358748778103,523.2517
20/11/2019 at 16:09:34,104.0,38.52086746307452,4.071358748778103,523.4953
