Absolute Time,Time Elapsed,Temperature,Vref,Average Output

12/05/2020 at 16:23:44,0.0,40.528755852889,-0.3079178885630496,469.76025
12/05/2020 at 16:23:47,3.0,40.528755852889,-0.3079178885630496,466.9928
12/05/2020 at 16:23:50,6.0,40.528755852889,-0.3079178885630496,466.27655
12/05/2020 at 16:23:52,8.0,40.528755852889,-0.3079178885630496,465.8585
12/05/2020 at 16:23:55,11.0,40.528755852889,-0.3079178885630496,465.66388
12/05/2020 at 16:23:58,14.0,40.528755852889,-0.3079178885630496,465.51215
12/05/2020 at 16:24:09,25.0,40.528755852889,-0.3079178885630496,527.44653
12/05/2020 at 16:24:12,28.0,40.528755852889,-0.3079178885630496,528.13165
12/05/2020 at 16:24:15,31.0,40.528755852889,-0.3079178885630496,528.30237
12/05/2020 at 16:24:26,42.0,40.528755852889,-0.3079178885630496,465.24432
12/05/2020 at 16:24:29,45.0,40.528755852889,-0.3079178885630496,463.8676
12/05/2020 at 16:24:32,48.0,40.528755852889,-0.3079178885630496,463.8714
12/05/2020 at 16:24:35,51.0,40.30265745799454,-0.3079178885630496,464.83383
12/05/2020 at 16:24:38,54.0,39.747353530310804,-0.3079178885630496,472.24356
12/05/2020 at 16:24:42,58.0,39.366799562402925,-0.3079178885630496,477.76025
12/05/2020 at 16:24:45,61.0,39.1522538275271,-0.3079178885630496,481.52048
12/05/2020 at 16:24:48,64.0,38.9927037926529,-0.3079178885630496,484.49393
12/05/2020 at 16:24:51,67.0,38.83430023499695,-0.3079178885630496,486.78568
12/05/2020 at 16:24:55,71.0,38.67702679557834,-0.3079178885630496,489.0702
12/05/2020 at 16:24:58,74.0,38.52086746307452,-0.3079178885630496,490.84863
12/05/2020 at 16:25:01,77.0,38.41737243610064,-0.3079178885630496,492.4852
12/05/2020 at 16:25:04,80.0,38.31436103251234,-0.3079178885630496,493.94348
12/05/2020 at 16:25:07,83.0,38.211828753462974,-0.3079178885630496,495.09787
12/05/2020 at 16:25:10,86.0,38.058919005658694,-0.3079178885630496,496.2371
12/05/2020 at 16:25:13,89.0,38.008183884864856,-0.3079178885630496,497.06372
12/05/2020 at 16:25:16,92.0,37.907062605464205,-0.3079178885630496,497.95865
12/05/2020 at 16:25:19,95.0,37.80640306867365,-0.3079178885630496,498.99698
12/05/2020 at 16:25:22,98.0,37.75624513974355,-0.3079178885630496,500.21426
12/05/2020 at 16:25:25,101.0,37.65627036406202,-0.3079178885630496,501.21994
12/05/2020 at 16:25:28,104.0,37.55674694330632,-0.3079178885630496,502.21237
12/05/2020 at 16:25:31,107.0,37.50715322102955,-0.3079178885630496,503.3265
12/05/2020 at 16:25:34,110.0,37.40829924257501,-0.3079178885630496,504.2112
12/05/2020 at 16:25:37,113.0,37.35903799245707,-0.3079178885630496,505.22412
12/05/2020 at 16:25:40,116.0,37.30988657799347,-0.3079178885630496,506.18353
12/05/2020 at 16:25:43,119.0,37.260844510482166,-0.3079178885630496,507.3045
