Absolute Time,Time Elapsed,Temperature,Vref,Average Output

14/05/2020 at 10:37:33,0.0,41.87584475591002,1.6862170087976533,417.7951
14/05/2020 at 10:37:36,3.0,41.87584475591002,1.6862170087976533,416.29672
14/05/2020 at 10:37:39,5.0,41.87584475591002,1.6862170087976533,415.89563
14/05/2020 at 10:37:42,8.0,41.87584475591002,1.6862170087976533,415.69846
14/05/2020 at 10:37:44,11.0,41.87584475591002,1.6862170087976533,415.5973
14/05/2020 at 10:37:47,14.0,41.87584475591002,1.6862170087976533,415.53287
14/05/2020 at 10:38:01,28.0,41.87584475591002,1.6862170087976533,486.18588
14/05/2020 at 10:38:04,31.0,41.87584475591002,1.6862170087976533,484.8344
14/05/2020 at 10:38:07,34.0,41.87584475591002,1.6862170087976533,484.66528
14/05/2020 at 10:38:20,47.0,41.87584475591002,1.6862170087976533,417.39304
14/05/2020 at 10:38:23,50.0,41.87584475591002,1.6862170087976533,416.65143
14/05/2020 at 10:38:26,53.0,41.87584475591002,1.6862170087976533,416.41977
14/05/2020 at 10:38:29,56.0,41.51641722413324,1.6862170087976533,414.56573
14/05/2020 at 10:38:34,60.0,40.98803080350943,1.6862170087976533,424.02707
14/05/2020 at 10:38:37,64.0,40.64268065556431,1.6862170087976533,429.82828
14/05/2020 at 10:38:41,67.0,40.41541678443419,1.6862170087976533,434.07184
14/05/2020 at 10:38:44,71.0,40.19047197284957,1.6862170087976533,437.25388
14/05/2020 at 10:38:47,74.0,40.078854517910756,1.6862170087976533,440.09567
14/05/2020 at 10:38:51,77.0,39.91248089608239,1.6862170087976533,442.60825
14/05/2020 at 10:38:54,80.0,39.802258665180545,1.6862170087976533,444.88693
14/05/2020 at 10:38:57,83.0,39.63795181567482,1.6862170087976533,447.25546
14/05/2020 at 10:39:00,87.0,39.58345388864937,1.6862170087976533,449.05414
14/05/2020 at 10:39:03,90.0,39.366799562402925,1.6862170087976533,451.2777
14/05/2020 at 10:39:06,93.0,39.25926568939127,1.6862170087976533,453.44168
14/05/2020 at 10:39:09,96.0,39.20569482401323,1.6862170087976533,455.3492
14/05/2020 at 10:39:12,99.0,39.09894207178738,1.6862170087976533,457.17075
14/05/2020 at 10:39:16,102.0,38.93977603552408,1.6862170087976533,459.26837
14/05/2020 at 10:39:19,105.0,38.83430023499695,1.6862170087976533,461.1105
14/05/2020 at 10:39:22,109.0,38.78175098423836,1.6862170087976533,462.625
14/05/2020 at 10:39:25,112.0,38.62485067594398,1.6862170087976533,464.5229
14/05/2020 at 10:39:28,115.0,38.57279775859576,1.6862170087976533,466.34537
14/05/2020 at 10:39:31,118.0,38.46905921301362,1.6862170087976533,468.16913
14/05/2020 at 10:39:34,121.0,38.36580656403937,1.6862170087976533,470.13306
14/05/2020 at 10:39:38,124.0,38.26303528114378,1.6862170087976533,472.07892
14/05/2020 at 10:39:41,127.0,38.211828753462974,1.6862170087976533,473.87628
14/05/2020 at 10:39:44,130.0,38.160740896868084,1.6862170087976533,475.7809
14/05/2020 at 10:39:47,134.0,38.058919005658694,1.6862170087976533,477.74258
14/05/2020 at 10:39:50,137.0,38.008183884864856,1.6862170087976533,479.60696
14/05/2020 at 10:39:53,140.0,37.907062605464205,1.6862170087976533,481.41977
14/05/2020 at 10:39:56,143.0,37.856675382945504,1.6862170087976533,483.1308
14/05/2020 at 10:39:59,146.0,37.75624513974355,1.6862170087976533,485.04382
14/05/2020 at 10:40:03,149.0,37.70620107681131,1.6862170087976533,486.8692
14/05/2020 at 10:40:06,152.0,37.65627036406202,1.6862170087976533,488.7252
14/05/2020 at 10:40:09,156.0,37.60645248917781,1.6862170087976533,490.6469
14/05/2020 at 10:40:12,159.0,37.507153221029554,1.6862170087976533,492.61148
14/05/2020 at 10:40:15,162.0,37.45767082033295,1.6862170087976533,494.50903
14/05/2020 at 10:40:18,165.0,37.40829924257501,1.6862170087976533,496.45813
14/05/2020 at 10:40:21,168.0,37.35903799245707,1.6862170087976533,498.40143
14/05/2020 at 10:40:25,171.0,37.30988657799347,1.6862170087976533,500.2906
14/05/2020 at 10:40:28,174.0,37.260844510482166,1.6862170087976533,502.17752
14/05/2020 at 10:40:31,177.0,37.260844510482166,1.6862170087976533,504.04318
14/05/2020 at 10:40:34,181.0,37.16308647775131,1.6862170087976533,505.9594
14/05/2020 at 10:40:37,184.0,37.11436955128462,1.6862170087976533,507.95618
14/05/2020 at 10:40:40,187.0,37.065760049219236,1.6862170087976533,509.93878
14/05/2020 at 10:40:43,190.0,37.01725749883994,1.6862170087976533,511.99612
14/05/2020 at 10:40:46,193.0,36.96886143054491,1.6862170087976533,514.0364
14/05/2020 at 10:40:50,196.0,36.96886143054491,1.6862170087976533,515.96875
14/05/2020 at 10:40:53,199.0,36.92057137781844,1.6862170087976533,517.88464
14/05/2020 at 10:40:56,202.0,36.87238687720392,1.6862170087976533,519.8624
14/05/2020 at 10:40:59,205.0,36.824307468277205,1.6862170087976533,521.77515
14/05/2020 at 10:41:02,209.0,36.776332693620176,1.6862170087976533,523.74744
14/05/2020 at 10:41:05,212.0,36.92057137781844,1.6862170087976533,525.3521
14/05/2020 at 10:41:09,215.0,37.21191130447548,1.6862170087976533,520.5554
14/05/2020 at 10:41:12,219.0,37.35903799245707,1.6862170087976533,519.15497
