Absolute Time,Time Elapsed,Temperature,Vref,Average Output

06/11/2019 at 13:54:28,0.0,41.695398452970615,-2.653958944281525,514.1984
06/11/2019 at 13:54:31,3.0,41.695398452970615,-2.653958944281525,511.61267
06/11/2019 at 13:54:34,6.0,41.695398452970615,-2.653958944281525,511.0098
06/11/2019 at 13:54:37,8.0,41.695398452970615,-2.653958944281525,510.69168
06/11/2019 at 13:54:39,11.0,41.695398452970615,-2.653958944281525,510.4363
06/11/2019 at 13:54:42,14.0,41.695398452970615,-2.653958944281525,510.24432
06/11/2019 at 13:54:58,29.0,41.51641722413324,-2.653958944281525,586.3249
06/11/2019 at 13:55:01,33.0,41.63557643456453,-2.653958944281525,583.43787
06/11/2019 at 13:55:04,36.0,41.63557643456453,-2.653958944281525,582.86035
06/11/2019 at 13:55:18,50.0,41.45707829125295,-2.653958944281525,511.64114
06/11/2019 at 13:55:22,53.0,41.63557643456453,-2.653958944281525,509.7465
06/11/2019 at 13:55:24,56.0,41.63557643456453,-2.653958944281525,509.3316
06/11/2019 at 13:55:29,61.0,41.10436036240556,-2.653958944281525,520.4927
06/11/2019 at 13:55:33,65.0,40.528755852889,-2.653958944281525,528.9927
06/11/2019 at 13:55:37,69.0,40.24649335053262,-2.653958944281525,532.884
06/11/2019 at 13:55:40,72.0,40.0232570098668,-2.653958944281525,535.8179
06/11/2019 at 13:55:43,75.0,39.91248089608239,-2.653958944281525,537.93115
06/11/2019 at 13:55:46,78.0,39.747353530310804,-2.653958944281525,539.73096
06/11/2019 at 13:55:50,82.0,39.58345388864937,-2.653958944281525,541.66364
06/11/2019 at 13:55:53,85.0,39.474860564349,-2.653958944281525,543.1595
06/11/2019 at 13:55:56,88.0,39.366799562402925,-2.653958944281525,544.51025
06/11/2019 at 13:55:59,91.0,39.25926568939127,-2.653958944281525,545.69574
06/11/2019 at 13:56:02,94.0,39.1522538275271,-2.653958944281525,546.66064
06/11/2019 at 13:56:05,97.0,39.045758933194875,-2.653958944281525,547.6793
06/11/2019 at 13:56:08,100.0,38.93977603552408,-2.653958944281525,548.49084
06/11/2019 at 13:56:12,103.0,38.88697505158759,-2.653958944281525,549.3831
06/11/2019 at 13:56:15,107.0,38.78175098423836,-2.653958944281525,550.50854
06/11/2019 at 13:56:18,110.0,38.72932670208938,-2.653958944281525,551.4029
06/11/2019 at 13:56:21,113.0,38.62485067594398,-2.653958944281525,551.94495
06/11/2019 at 13:56:24,116.0,38.57279775859576,-2.653958944281525,552.5562
06/11/2019 at 13:56:27,119.0,38.52086746307452,-2.653958944281525,553.04614
06/11/2019 at 13:56:30,122.0,38.46905921301362,-2.653958944281525,553.5073
06/11/2019 at 13:56:33,125.0,38.41737243610064,-2.653958944281525,553.82825
06/11/2019 at 13:56:36,128.0,38.36580656403937,-2.653958944281525,554.4234
06/11/2019 at 13:56:39,131.0,38.31436103251234,-2.653958944281525,555.03815
06/11/2019 at 13:56:42,134.0,38.26303528114378,-2.653958944281525,555.5
