Absolute Time,Time Elapsed,Temperature,Vref,Average Output

21/05/2020 at 10:37:31,0.0,41.51641722413324,0.5913978494623651,508.9303
21/05/2020 at 10:37:37,5.0,41.51641722413324,0.5913978494623651,497.8963
21/05/2020 at 10:37:40,8.0,41.51641722413324,0.5913978494623651,496.5968
21/05/2020 at 10:37:43,11.0,41.51641722413324,0.5913978494623651,496.13004
21/05/2020 at 10:37:46,14.0,41.51641722413324,0.5913978494623651,495.87167
21/05/2020 at 10:37:48,17.0,41.51641722413324,0.5913978494623651,495.72266
21/05/2020 at 10:38:08,36.0,41.51641722413324,0.5913978494623651,575.08844
21/05/2020 at 10:38:13,41.0,41.51641722413324,0.5913978494623651,577.7926
21/05/2020 at 10:38:16,44.0,41.51641722413324,0.5913978494623651,576.76526
21/05/2020 at 10:38:34,62.0,41.51641722413324,0.5913978494623651,502.7293
21/05/2020 at 10:38:39,67.0,41.51641722413324,0.5913978494623651,494.9032
21/05/2020 at 10:38:42,70.0,41.51641722413324,0.5913978494623651,494.74854
21/05/2020 at 10:38:45,73.0,41.10436036240556,0.5913978494623651,493.09088
21/05/2020 at 10:38:50,78.0,40.58564465931099,0.5913978494623651,500.49753
21/05/2020 at 10:38:53,82.0,40.358965024379735,0.5913978494623651,505.3633
21/05/2020 at 10:38:57,85.0,40.13459260134588,0.5913978494623651,509.2537
21/05/2020 at 10:39:01,89.0,40.0232570098668,0.5913978494623651,512.6273
21/05/2020 at 10:39:04,92.0,39.857300891665396,0.5913978494623651,515.5374
21/05/2020 at 10:39:08,96.0,39.747353530310804,0.5913978494623651,517.8714
21/05/2020 at 10:39:11,99.0,39.63795181567482,0.5913978494623651,520.3116
21/05/2020 at 10:39:15,103.0,39.52909035862105,0.5913978494623651,522.6697
21/05/2020 at 10:39:18,106.0,39.474860564349,0.5913978494623651,524.96576
21/05/2020 at 10:39:21,110.0,39.366799562402925,0.5913978494623651,526.7741
21/05/2020 at 10:39:25,113.0,39.25926568939127,0.5913978494623651,528.9074
21/05/2020 at 10:39:28,116.0,39.20569482401323,0.5913978494623651,530.7081
21/05/2020 at 10:39:32,120.0,39.09894207178738,0.5913978494623651,532.4677
21/05/2020 at 10:39:35,123.0,39.045758933194875,0.5913978494623651,534.0241
21/05/2020 at 10:39:39,127.0,38.93977603552408,0.5913978494623651,535.78894
21/05/2020 at 10:39:42,130.0,38.88697505158759,0.5913978494623651,537.70764
21/05/2020 at 10:39:45,133.0,38.83430023499695,0.5913978494623651,539.4377
21/05/2020 at 10:39:49,137.0,38.72932670208938,0.5913978494623651,541.4138
21/05/2020 at 10:39:52,140.0,38.67702679557834,0.5913978494623651,543.4921
21/05/2020 at 10:39:56,144.0,38.62485067594398,0.5913978494623651,545.1929
21/05/2020 at 10:39:59,147.0,38.52086746307452,0.5913978494623651,546.9537
21/05/2020 at 10:40:03,151.0,38.46905921301362,0.5913978494623651,548.60223
21/05/2020 at 10:40:06,154.0,38.41737243610064,0.5913978494623651,550.31134
21/05/2020 at 10:40:10,158.0,38.31436103251234,0.5913978494623651,551.8347
21/05/2020 at 10:40:13,161.0,38.26303528114378,0.5913978494623651,553.2744
21/05/2020 at 10:40:16,164.0,38.211828753462974,0.5913978494623651,554.6283
21/05/2020 at 10:40:20,168.0,38.160740896868084,0.5913978494623651,555.7517
21/05/2020 at 10:40:23,171.0,38.109771162590334,0.5913978494623651,556.4522
21/05/2020 at 10:40:26,175.0,38.058919005658694,0.5913978494623651,557.10175
21/05/2020 at 10:40:30,178.0,37.95756526272872,0.5913978494623651,557.8116
21/05/2020 at 10:40:33,181.0,37.907062605464205,0.5913978494623651,558.64874
21/05/2020 at 10:40:37,185.0,37.856675382945504,0.5913978494623651,559.5655
21/05/2020 at 10:40:40,188.0,37.80640306867365,0.5913978494623651,560.5692
21/05/2020 at 10:40:43,191.0,37.75624513974355,0.5913978494623651,561.6453
21/05/2020 at 10:40:47,195.0,37.70620107681131,0.5913978494623651,562.4781
21/05/2020 at 10:40:50,198.0,37.65627036406202,0.5913978494623651,563.4441
21/05/2020 at 10:40:53,202.0,37.60645248917781,0.5913978494623651,564.3
21/05/2020 at 10:40:57,205.0,37.55674694330632,0.5913978494623651,565.1889
21/05/2020 at 10:41:00,208.0,37.507153221029554,0.5913978494623651,565.85394
21/05/2020 at 10:41:04,212.0,37.35903799245707,0.5913978494623651,565.2091
21/05/2020 at 10:41:10,219.0,37.11436955128462,0.5913978494623651,550.49603
