Absolute Time,Time Elapsed,Temperature,Vref,Average Output

25/05/2020 at 12:57:10,0.0,42.24122992064895,3.7194525904203317,609.7003
25/05/2020 at 12:57:13,3.0,42.24122992064895,3.7194525904203317,607.35876
25/05/2020 at 12:57:16,6.0,42.24122992064895,3.7194525904203317,606.74023
25/05/2020 at 12:57:19,9.0,42.24122992064895,3.7194525904203317,606.5405
25/05/2020 at 12:57:22,12.0,42.24122992064895,3.7194525904203317,606.4844
25/05/2020 at 12:57:25,15.0,42.24122992064895,3.7194525904203317,606.4943
25/05/2020 at 12:57:43,33.0,42.24122992064895,3.7194525904203317,679.0005
25/05/2020 at 12:57:47,37.0,42.24122992064895,3.7194525904203317,677.0116
25/05/2020 at 12:57:50,40.0,42.24122992064895,3.7194525904203317,676.3844
25/05/2020 at 12:58:06,56.0,42.24122992064895,3.7194525904203317,614.34735
25/05/2020 at 12:58:09,59.0,42.24122992064895,3.7194525904203317,611.9937
25/05/2020 at 12:58:12,62.0,42.24122992064895,3.7194525904203317,611.25055
25/05/2020 at 12:58:17,67.0,41.695398452970615,3.7194525904203317,605.0821
25/05/2020 at 12:58:21,71.0,41.16275615881688,3.7194525904203317,610.8105
25/05/2020 at 12:58:25,74.0,40.93009542126816,3.7194525904203317,613.5016
25/05/2020 at 12:58:28,78.0,40.75719727805131,3.7194525904203317,616.2464
25/05/2020 at 12:58:32,81.0,40.64268065556431,3.7194525904203317,618.4628
25/05/2020 at 12:58:35,85.0,40.472013478563085,3.7194525904203317,620.5967
25/05/2020 at 12:58:38,88.0,40.358965024379735,3.7194525904203317,622.1116
25/05/2020 at 12:58:41,91.0,40.30265745799454,3.7194525904203317,623.61536
25/05/2020 at 12:58:45,94.0,40.19047197284957,3.7194525904203317,625.3193
25/05/2020 at 12:58:48,98.0,40.078854517910756,3.7194525904203317,627.23724
25/05/2020 at 12:58:51,101.0,39.96779936991534,3.7194525904203317,629.2147
25/05/2020 at 12:58:55,104.0,39.91248089608239,3.7194525904203317,631.16095
25/05/2020 at 12:58:58,108.0,39.802258665180545,3.7194525904203317,632.9126
25/05/2020 at 12:59:01,111.0,39.747353530310804,3.7194525904203317,634.6938
25/05/2020 at 12:59:04,114.0,39.69258480585453,3.7194525904203317,636.36285
25/05/2020 at 12:59:08,117.0,39.58345388864937,3.7194525904203317,638.2014
25/05/2020 at 12:59:11,121.0,39.52909035862105,3.7194525904203317,639.96246
25/05/2020 at 12:59:14,124.0,39.474860564348994,3.7194525904203317,641.8676
25/05/2020 at 12:59:18,127.0,39.366799562402925,3.7194525904203317,643.8013
25/05/2020 at 12:59:21,131.0,39.31296705639732,3.7194525904203317,645.6901
25/05/2020 at 12:59:24,134.0,39.25926568939127,3.7194525904203317,647.47955
25/05/2020 at 12:59:28,137.0,39.20569482401323,3.7194525904203317,649.2689
25/05/2020 at 12:59:31,141.0,39.1522538275271,3.7194525904203317,651.10095
25/05/2020 at 12:59:34,144.0,39.045758933194875,3.7194525904203317,653.0341
25/05/2020 at 12:59:38,147.0,38.9927037926529,3.7194525904203317,654.992
25/05/2020 at 12:59:41,151.0,38.93977603552408,3.7194525904203317,657.0436
25/05/2020 at 12:59:44,154.0,38.88697505158759,3.7194525904203317,659.1796
25/05/2020 at 12:59:48,157.0,38.83430023499695,3.7194525904203317,661.32367
25/05/2020 at 12:59:51,161.0,38.78175098423836,3.7194525904203317,663.4568
25/05/2020 at 12:59:54,164.0,38.72932670208938,3.7194525904203317,665.5255
25/05/2020 at 12:59:58,167.0,38.67702679557834,3.7194525904203317,667.6415
25/05/2020 at 13:00:01,171.0,38.57279775859576,3.7194525904203317,669.6836
25/05/2020 at 13:00:04,174.0,38.52086746307452,3.7194525904203317,671.8148
25/05/2020 at 13:00:08,177.0,38.46905921301362,3.7194525904203317,673.9138
25/05/2020 at 13:00:11,181.0,38.41737243610064,3.7194525904203317,675.9068
25/05/2020 at 13:00:14,184.0,38.365806564039374,3.7194525904203317,677.8964
25/05/2020 at 13:00:18,187.0,38.31436103251234,3.7194525904203317,679.93463
25/05/2020 at 13:00:21,191.0,38.26303528114378,3.7194525904203317,681.93756
25/05/2020 at 13:00:24,194.0,38.211828753462974,3.7194525904203317,684.0102
25/05/2020 at 13:00:28,197.0,38.160740896868084,3.7194525904203317,685.98114
25/05/2020 at 13:00:31,201.0,38.109771162590334,3.7194525904203317,687.9586
