Absolute Time,Time Elapsed,Temperature,Vref,Average Output

28/05/2020 at 17:55:01,0.0,41.22130705712722,-3.12316715542522,442.6313
28/05/2020 at 17:55:04,3.0,41.28001388344668,-3.12316715542522,439.46298
28/05/2020 at 17:55:07,6.0,41.33887747050311,-3.12316715542522,438.43994
28/05/2020 at 17:55:10,8.0,41.397898657712915,-3.12316715542522,437.85754
28/05/2020 at 17:55:13,11.0,41.45707829125295,-3.12316715542522,437.35092
28/05/2020 at 17:55:16,14.0,41.45707829125295,-3.12316715542522,436.97208
28/05/2020 at 17:55:29,27.0,41.16275615881688,-3.12316715542522,509.34393
28/05/2020 at 17:55:33,31.0,41.28001388344668,-3.12316715542522,506.7891
28/05/2020 at 17:55:35,34.0,41.33887747050311,-3.12316715542522,505.96335
28/05/2020 at 17:55:48,46.0,41.22130705712722,-3.12316715542522,439.59323
28/05/2020 at 17:55:51,50.0,41.33887747050311,-3.12316715542522,435.8331
28/05/2020 at 17:55:54,53.0,41.33887747050311,-3.12316715542522,435.35406
28/05/2020 at 17:55:59,57.0,40.30265745799454,-3.12316715542522,449.0953
28/05/2020 at 17:56:03,61.0,39.747353530310804,-3.12316715542522,456.83972
28/05/2020 at 17:56:06,65.0,39.474860564348994,-3.12316715542522,460.49512
28/05/2020 at 17:56:10,68.0,39.31296705639732,-3.12316715542522,463.18262
28/05/2020 at 17:56:13,71.0,39.1522538275271,-3.12316715542522,465.33484
28/05/2020 at 17:56:16,74.0,38.9927037926529,-3.12316715542522,467.37534
28/05/2020 at 17:56:19,77.0,38.88697505158759,-3.12316715542522,468.84708
28/05/2020 at 17:56:22,80.0,38.78175098423836,-3.12316715542522,470.33905
28/05/2020 at 17:56:25,83.0,38.67702679557834,-3.12316715542522,471.79678
28/05/2020 at 17:56:28,86.0,38.62485067594398,-3.12316715542522,473.00104
28/05/2020 at 17:56:31,89.0,38.57279775859576,-3.12316715542522,474.15363
28/05/2020 at 17:56:34,92.0,38.52086746307452,-3.12316715542522,475.26886
28/05/2020 at 17:56:37,95.0,38.46905921301362,-3.12316715542522,476.4574
28/05/2020 at 17:56:40,98.0,38.41737243610064,-3.12316715542522,477.70706
28/05/2020 at 17:56:43,101.0,38.41737243610064,-3.12316715542522,478.88095
28/05/2020 at 17:56:46,104.0,38.365806564039374,-3.12316715542522,479.89526
28/05/2020 at 17:56:49,107.0,38.365806564039374,-3.12316715542522,481.06775
28/05/2020 at 17:56:52,110.0,38.365806564039374,-3.12316715542522,482.07297
28/05/2020 at 17:56:55,113.0,38.365806564039374,-3.12316715542522,483.00873
28/05/2020 at 17:56:58,116.0,38.31436103251234,-3.12316715542522,484.00595
28/05/2020 at 17:57:01,119.0,38.31436103251234,-3.12316715542522,484.87604
28/05/2020 at 17:57:04,122.0,38.26303528114378,-3.12316715542522,485.7636
28/05/2020 at 17:57:07,125.0,38.26303528114378,-3.12316715542522,486.65607
28/05/2020 at 17:57:10,128.0,38.211828753462974,-3.12316715542522,487.5695
28/05/2020 at 17:57:13,131.0,38.160740896868084,-3.12316715542522,488.49545
28/05/2020 at 17:57:16,134.0,38.160740896868084,-3.12316715542522,489.331
28/05/2020 at 17:57:19,137.0,38.109771162590334,-3.12316715542522,490.1945
28/05/2020 at 17:57:22,140.0,38.058919005658694,-3.12316715542522,491.0342
28/05/2020 at 17:57:25,143.0,38.008183884864856,-3.12316715542522,491.77277
28/05/2020 at 17:57:28,146.0,37.95756526272872,-3.12316715542522,492.7501
28/05/2020 at 17:57:31,149.0,37.907062605464205,-3.12316715542522,493.66144
28/05/2020 at 17:57:34,152.0,37.907062605464205,-3.12316715542522,494.41153
28/05/2020 at 17:57:37,155.0,37.85667538294551,-3.12316715542522,495.2911
28/05/2020 at 17:57:40,158.0,37.80640306867365,-3.12316715542522,496.13962
28/05/2020 at 17:57:43,161.0,37.75624513974355,-3.12316715542522,496.9466
28/05/2020 at 17:57:46,164.0,37.70620107681131,-3.12316715542522,497.66284
28/05/2020 at 17:57:49,167.0,37.65627036406202,-3.12316715542522,498.52112
28/05/2020 at 17:57:52,170.0,37.606452489177805,-3.12316715542522,499.28726
28/05/2020 at 17:57:55,173.0,37.55674694330632,-3.12316715542522,500.02792
28/05/2020 at 17:57:58,176.0,37.50715322102955,-3.12316715542522,500.68866
28/05/2020 at 17:58:01,179.0,37.45767082033295,-3.12316715542522,501.25934
28/05/2020 at 17:58:04,182.0,37.40829924257501,-3.12316715542522,502.1721
28/05/2020 at 17:58:07,185.0,37.35903799245707,-3.12316715542522,503.04398
28/05/2020 at 17:58:10,188.0,37.35903799245707,-3.12316715542522,503.80594
28/05/2020 at 17:58:13,191.0,37.30988657799347,-3.12316715542522,504.50507
28/05/2020 at 17:58:16,194.0,37.260844510482166,-3.12316715542522,505.1843
28/05/2020 at 17:58:19,197.0,37.21191130447548,-3.12316715542522,505.7553
28/05/2020 at 17:58:22,200.0,37.21191130447548,-3.12316715542522,506.4548
28/05/2020 at 17:58:25,203.0,37.16308647775131,-3.12316715542522,507.36334
28/05/2020 at 17:58:29,207.0,37.21191130447548,-3.12316715542522,502.49667
28/05/2020 at 17:58:33,211.0,37.606452489177805,-3.12316715542522,492.06177
28/05/2020 at 17:58:37,215.0,37.75624513974355,-3.12316715542522,491.41327
28/05/2020 at 17:58:40,218.0,37.75624513974355,-3.12316715542522,490.84293
28/05/2020 at 17:58:43,221.0,37.80640306867365,-3.12316715542522,490.34274
28/05/2020 at 17:58:46,224.0,37.80640306867365,-3.12316715542522,489.61432
28/05/2020 at 17:58:49,227.0,37.85667538294551,-3.12316715542522,489.15985
28/05/2020 at 17:58:52,230.0,37.85667538294551,-3.12316715542522,488.2363
28/05/2020 at 17:58:55,233.0,37.85667538294551,-3.12316715542522,487.79373
28/05/2020 at 17:58:58,236.0,37.907062605464205,-3.12316715542522,486.95636
28/05/2020 at 17:59:01,239.0,37.907062605464205,-3.12316715542522,485.92636
28/05/2020 at 17:59:04,243.0,37.907062605464205,-3.12316715542522,485.39056
28/05/2020 at 17:59:07,245.0,37.907062605464205,-3.12316715542522,485.26807
28/05/2020 at 17:59:10,248.0,37.95756526272872,-3.12316715542522,484.94763
